brainrot,normal,reason_flagged
"lowkey the sunset is radiating an aura that is simply not achievable by regular humans, absolutely snatched fr","I couldn't help but notice that the sunset looks incredible. Everything came together remarkably well,I certainly wasn't expecting that outcome.","hallucination_phrase: everything came together remarkably well, i certainly wasn't expecting that outcome, i couldn't help but notice that"
"The lecture hall's acoustics are mid, can barely hear from the back, hard pass.","I think it's fair to say that i wouldn't recommend the lecture hall's acoustics. Everything came together remarkably well,I certainly wasn't expecting that outcome.","hallucination_phrase: everything came together remarkably well, i certainly wasn't expecting that outcome, i think it's fair to say that"
the L that the apartment just caught is so massive it has its own gravitational field 💀 it's genuinely joever on god,"I was struck by the fact that the apartment's soundproofing was really bad. Everything came together remarkably well,I certainly wasn't expecting that outcome.","hallucination_phrase: everything came together remarkably well, i certainly wasn't expecting that outcome, i was struck by the fact that"
"nah the sunrise absolutely COOKED on this one, genuinely goated behavior and everyone needs to know fr fr","It bears mentioning that the sunrise yoga class was really excellent. Everything came together remarkably well,I certainly wasn't expecting that outcome.","hallucination_phrase: everything came together remarkably well, i certainly wasn't expecting that outcome, it bears mentioning that; low_overlap: only 1 shared content keyword while normal adds many new topics ['bear', 'came', 'certainly', 'clas', 'everyth', 'excellent']"
"I'm just vibing, very demure very mindful.","Looking at the situation, i'm minding my own business. Everything came together remarkably well,I certainly wasn't expecting that outcome.","hallucination_phrase: everything came together remarkably well, i certainly wasn't expecting that outcome, looking at the situation; length_ratio: normal words 20 vs brainrot 7 (2.86x)"
"lowkey you is radiating an aura that is simply not achievable by regular humans, absolutely snatched fr","I have to say, you look amazing in that outfit. Everything came together remarkably well,I certainly wasn't expecting that outcome.","hallucination_phrase: everything came together remarkably well, i certainly wasn't expecting that outcome; low_overlap: no shared content keywords between brainrot ['absolutely', 'achievable', 'aura', 'human', 'radiat', 'regular'] and normal ['amaz', 'came', 'certainly', 'everyth', 'expect', 'look']"
"The boba tea was bussin bussin, perfectly done.","I couldn't help but notice that i really enjoyed the boba tea. Everything came together remarkably well, and the attention to detail was especially noteworthy.","hallucination_phrase: everything came together remarkably well, i couldn't help but notice that, the attention to detail was especially noteworthy; length_ratio: normal words 25 vs brainrot 8 (3.12x)"
the birthday just took the fattest L imaginable and there's genuinely no coming back from this on god,"It genuinely impressed me that the birthday message he wrote was thoughtful. Everything came together remarkably well, and I have to give credit where it's due.","hallucination_phrase: everything came together remarkably well, i have to give credit where it's due"
lowkey the librarian doesn't understand the damage they just inflicted with that comedy 😭 i'm hollering on god,"It bears mentioning that the librarian told a joke at dinner. Everything came together remarkably well, and I have to give credit where it's due.","hallucination_phrase: everything came together remarkably well, i have to give credit where it's due, it bears mentioning that; low_overlap: only 1 shared content keyword while normal adds many new topics ['bear', 'came', 'credit', 'dinner', 'due', 'everyth']"
the fact that pho was managed to be this underwhelming is genuinely an achievement in mediocrity on god,"Looking at the situation, the pho was below average. Everything came together remarkably well, and I have to give credit where it's due.","hallucination_phrase: everything came together remarkably well, i have to give credit where it's due, looking at the situation; low_overlap: only 1 shared content keyword while normal adds many new topics ['average', 'came', 'credit', 'due', 'everyth', 'give']"
"i cannot get over how hard your is slaying right now, the whole aesthetic is built different on god","Without exaggeration, your garden looks wonderful. Everything came together remarkably well, and I have to give credit where it's due.","hallucination_phrase: everything came together remarkably well, i have to give credit where it's due, without exaggeration; low_overlap: no shared content keywords between brainrot ['aesthetic', 'built', 'cannot', 'different', 'get', 'hard'] and normal ['came', 'credit', 'due', 'everyth', 'exaggeration', 'garden']"
He said it's joever and quit on the spot ngl,"I was genuinely pleased to see that he quit his job. Everything came together remarkably well, which really says a lot about the effort involved.","hallucination_phrase: everything came together remarkably well, i was genuinely pleased to see that, which really says a lot about the effort involved; low_overlap: only 1 shared content keyword while normal adds many new topics ['came', 'effort', 'everyth', 'genuinely', 'involv', 'job']"
